2023-06-15 00:11:04 result: , param:10000-111:-1765.1100000000000
2023-06-15 00:11:06 result: , param:10000-111:-1765.1100000000000
2023-06-15 00:11:08 result: , param:10000-111:-1765.1100000000000
2023-06-15 00:11:10 result: , param:10000-111:-1763.3100000000000
2023-06-15 00:11:12 result: , param:10000-111:-1763.3100000000000
2023-06-15 00:11:14 result: , param:10000-111:-1763.3100000000000
2023-06-15 00:11:16 result: , param:10000-111:-1763.2900000000000
2023-06-15 00:11:18 result: , param:10000-111:-1763.2900000000000
2023-06-15 00:11:20 result: , param:10000-111:-1763.2900000000000
2023-06-15 00:11:22 result: , param:10000-111:-1763.2900000000000
2023-06-15 00:11:24 result: , param:10000-111:-1763.2900000000000
2023-06-15 00:11:26 result: , param:10000-111:-1763.2900000000000
2023-06-15 00:11:28 result: , param:10000-111:-1763.1100000000000
2023-06-15 00:11:30 result: , param:10000-111:-1763.1100000000000
2023-06-15 00:11:32 result: , param:10000-111:-1763.1100000000000
2023-06-15 00:11:34 result: , param:10000-111:-1763.1100000000000
2023-06-15 00:11:36 result: , param:10000-111:-1762.6100000000000
2023-06-15 00:11:38 result: , param:10000-111:-1759.2900000000000
2023-06-15 00:11:40 result: , param:10000-111:-1752.3700000000000
2023-06-15 00:11:42 result: , param:10000-111:-1752.3700000000000
2023-06-15 00:11:44 result: , param:10000-111:-1752.3900000000000
2023-06-15 00:11:46 result: , param:10000-111:-1752.3900000000000
2023-06-15 00:11:48 result: , param:10000-111:-1752.3900000000000
2023-06-15 00:11:50 result: , param:10000-111:-1752.3900000000000
2023-06-15 00:11:52 result: , param:10000-111:-1752.3900000000000
2023-06-15 00:11:54 result: , param:10000-111:-1751.2900000000000
2023-06-15 00:11:56 result: , param:10000-111:-1751.2900000000000
2023-06-15 00:11:58 result: , param:10000-111:-1751.2900000000000
2023-06-15 00:12:00 result: , param:10000-111:-1751.2900000000000
2023-06-15 00:12:02 result: , param:10000-111:-1751.2900000000000
2023-06-15 00:12:04 result: , param:10000-111:-1751.2900000000000
2023-06-15 00:12:06 result: , param:10000-111:-1751.2900000000000
2023-06-15 00:12:08 result: , param:10000-111:-1747.2900000000000
2023-06-15 00:12:10 result: , param:10000-111:-1747.2900000000000
2023-06-15 00:12:12 result: , param:10000-111:-1747.2900000000000
2023-06-15 00:12:14 result: , param:10000-111:-1747.2900000000000
2023-06-15 00:12:16 result: , param:10000-111:-1747.2900000000000
2023-06-15 00:12:18 result: , param:10000-111:-1747.2900000000000
2023-06-15 00:12:20 result: , param:10000-111:-1747.2900000000000
2023-06-15 00:12:22 result: , param:10000-111:-1747.2900000000000
2023-06-15 00:12:24 result: , param:10000-111:-1747.2900000000000
2023-06-15 00:12:26 result: , param:10000-111:-1745.2900000000000
2023-06-15 00:12:28 result: , param:10000-111:-1745.2900000000000
2023-06-15 00:12:30 result: , param:10000-111:-1745.3100000000000
2023-06-15 00:12:32 result: , param:10000-111:-1745.3100000000000
2023-06-15 00:12:34 result: , param:10000-111:-1745.3100000000000
2023-06-15 00:12:36 result: , param:10000-111:-1745.3100000000000
2023-06-15 00:12:38 result: , param:10000-111:-1745.3100000000000
2023-06-15 00:12:40 result: , param:10000-111:-1745.3100000000000
2023-06-15 00:12:42 result: , param:10000-111:-1745.3100000000000
2023-06-15 00:12:44 result: , param:10000-111:-1745.3100000000000
2023-06-15 00:12:46 result: , param:10000-111:-1745.3100000000000
2023-06-15 00:12:48 result: , param:10000-111:-1751.8900000000000
2023-06-15 00:12:50 result: , param:10000-111:-1751.8900000000000
2023-06-15 00:12:52 result: , param:10000-111:-1763.0700000000000
2023-06-15 00:12:54 result: , param:10000-111:-1763.0700000000000
2023-06-15 00:12:56 result: , param:10000-111:-1763.0700000000000
2023-06-15 00:12:59 result: , param:10000-111:-1766.2900000000000
2023-06-15 00:13:01 result: , param:10000-111:-1776.9100000000000
2023-06-15 00:13:03 result: , param:10000-111:-1776.9100000000000
2023-06-15 00:13:05 result: , param:10000-111:-1776.9100000000000
2023-06-15 00:13:07 result: , param:10000-111:-1774.1300000000000
2023-06-15 00:13:09 result: , param:10000-111:-1774.1300000000000
2023-06-15 00:13:11 result: , param:10000-111:-1774.1300000000000
2023-06-15 00:13:13 result: , param:10000-111:-1774.1300000000000
2023-06-15 00:13:15 result: , param:10000-111:-1774.1300000000000
2023-06-15 00:13:17 result: , param:10000-111:-1774.1300000000000
2023-06-15 00:13:19 result: , param:10000-111:-1774.1300000000000
2023-06-15 00:13:21 result: , param:10000-111:-1774.1300000000000
2023-06-15 00:13:23 result: , param:10000-111:-1766.6700000000000
2023-06-15 00:13:25 result: , param:10000-111:-1766.6700000000000
2023-06-15 00:13:27 result: , param:10000-111:-1766.6700000000000
2023-06-15 00:13:29 result: , param:10000-111:-1772.2900000000000
2023-06-15 00:13:31 result: , param:10000-111:-1772.2900000000000
2023-06-15 00:13:33 result: , param:10000-111:-1766.6700000000000
2023-06-15 00:13:35 result: , param:10000-111:-1766.6700000000000
2023-06-15 00:13:37 result: , param:10000-111:-1766.6700000000000
2023-06-15 00:13:39 result: , param:10000-111:-1766.6700000000000
2023-06-15 00:13:41 result: , param:10000-111:-1766.6700000000000
2023-06-15 00:13:43 result: , param:10000-111:-1766.6700000000000
2023-06-15 00:13:45 result: , param:10000-111:-1766.6700000000000
2023-06-15 00:13:47 result: , param:10000-111:-1758.3100000000000
2023-06-15 00:13:49 result: , param:10000-111:-1758.3100000000000
2023-06-15 00:13:51 result: , param:10000-111:-1758.3100000000000
2023-06-15 00:13:53 result: , param:10000-111:-1758.3100000000000
2023-06-15 00:13:55 result: , param:10000-111:-1758.3100000000000
2023-06-15 00:13:57 result: , param:10000-111:-1758.3100000000000
2023-06-15 00:13:59 result: , param:10000-111:-1755.2900000000000
2023-06-15 00:14:01 result: , param:10000-111:-1755.3100000000000
2023-06-15 00:14:03 result: , param:10000-111:-1755.2900000000000
2023-06-15 00:14:05 result: , param:10000-111:-1755.2900000000000
2023-06-15 00:14:07 result: , param:10000-111:-1755.2900000000000
2023-06-15 00:14:09 result: , param:10000-111:-1755.3100000000000
2023-06-15 00:14:11 result: , param:10000-111:-1755.2900000000000
2023-06-15 00:14:13 result: , param:10000-111:-1761.5900000000000
2023-06-15 00:14:15 result: , param:10000-111:-1766.6700000000000
