2023-06-23 00:09:05 result: , param:15068.59-111:-2535.1000000000000
2023-06-23 00:09:07 result: , param:15068.59-111:-2540.0000000000000
2023-06-23 00:09:10 result: , param:15068.59-111:-2552.3000000000000
2023-06-23 00:09:12 result: , param:15068.59-111:-2573.2000000000000
2023-06-23 00:09:14 result: , param:15068.59-111:-2627.1000000000000
2023-06-23 00:09:16 result: , param:15068.59-111:-2608.9000000000000
2023-06-23 00:09:18 result: , param:15068.59-111:-2608.9000000000000
2023-06-23 00:09:20 result: , param:15068.59-111:-2557.3000000000000
2023-06-23 00:09:22 result: , param:15068.59-111:-2557.3000000000000
2023-06-23 00:09:24 result: , param:15068.59-111:-2557.3000000000000
2023-06-23 00:09:26 result: , param:15068.59-111:-2474.7000000000000
2023-06-23 00:09:28 result: , param:15068.59-111:-2474.7000000000000
2023-06-23 00:09:30 result: , param:15068.59-111:-2481.6000000000000
2023-06-23 00:09:32 result: , param:15068.59-111:-2499.4000000000000
2023-06-23 00:09:34 result: , param:15068.59-111:-2499.4000000000000
2023-06-23 00:09:36 result: , param:15068.59-111:-2499.4000000000000
2023-06-23 00:09:38 result: , param:15068.59-111:-2680.7000000000000
2023-06-23 00:09:40 result: , param:15068.59-111:-2680.7000000000000
2023-06-23 00:09:42 result: , param:15068.59-111:-2631.6000000000000
2023-06-23 00:09:44 result: , param:15068.59-111:-2586.1000000000000
2023-06-23 00:09:46 result: , param:15068.59-111:-2586.1000000000000
2023-06-23 00:09:48 result: , param:15068.59-111:-2586.2000000000000
2023-06-23 00:09:50 result: , param:15068.59-111:-2586.2000000000000
2023-06-23 00:09:52 result: , param:15068.59-111:-2586.1000000000000
2023-06-23 00:09:54 result: , param:15068.59-111:-2586.1000000000000
2023-06-23 00:09:56 result: , param:15068.59-111:-2586.1000000000000
2023-06-23 00:09:58 result: , param:15068.59-111:-2586.1000000000000
2023-06-23 00:10:00 result: , param:15068.59-111:-2646.6000000000000
2023-06-23 00:10:02 result: , param:15068.59-111:-2646.5000000000000
2023-06-23 00:10:04 result: , param:15068.59-111:-2646.5000000000000
2023-06-23 00:10:06 result: , param:15068.59-111:-2646.5000000000000
2023-06-23 00:10:08 result: , param:15068.59-111:-2679.4000000000000
2023-06-23 00:10:10 result: , param:15068.59-111:-2662.1000000000000
2023-06-23 00:10:12 result: , param:15068.59-111:-2662.1000000000000
2023-06-23 00:10:14 result: , param:15068.59-111:-2637.5000000000000
2023-06-23 00:10:16 result: , param:15068.59-111:-2637.5000000000000
2023-06-23 00:10:18 result: , param:15068.59-111:-2637.5000000000000
2023-06-23 00:10:20 result: , param:15068.59-111:-2737.4000000000000
2023-06-23 00:10:22 result: , param:15068.59-111:-2737.4000000000000
2023-06-23 00:10:24 result: , param:15068.59-111:-2749.4000000000000
2023-06-23 00:10:26 result: , param:15068.59-111:-2847.0000000000000
2023-06-23 00:10:28 result: , param:15068.59-111:-2769.2000000000000
2023-06-23 00:10:30 result: , param:15068.59-111:-2769.2000000000000
2023-06-23 00:10:32 result: , param:15068.59-111:-2737.5000000000000
2023-06-23 00:10:34 result: , param:15068.59-111:-2769.6000000000000
2023-06-23 00:10:37 result: , param:15068.59-111:-2833.8000000000000
2023-06-23 00:10:39 result: , param:15068.59-111:-2833.8000000000000
2023-06-23 00:10:41 result: , param:15068.59-111:-2868.9000000000000
2023-06-23 00:10:43 result: , param:15068.59-111:-2833.9000000000000
2023-06-23 00:10:45 result: , param:15068.59-111:-2833.9000000000000
2023-06-23 00:10:47 result: , param:15068.59-111:-2833.9000000000000
2023-06-23 00:10:49 result: , param:15068.59-111:-2777.2000000000000
2023-06-23 00:10:51 result: , param:15068.59-111:-2752.4000000000000
2023-06-23 00:10:53 result: , param:15068.59-111:-2752.4000000000000
2023-06-23 00:10:55 result: , param:15068.59-111:-2752.4000000000000
2023-06-23 00:10:57 result: , param:15068.59-111:-2719.5000000000000
2023-06-23 00:10:59 result: , param:15068.59-111:-2719.5000000000000
2023-06-23 00:11:01 result: , param:15068.59-111:-2832.0000000000000
2023-06-23 00:11:03 result: , param:15068.59-111:-2714.1000000000000
2023-06-23 00:11:05 result: , param:15068.59-111:-2714.1000000000000
2023-06-23 00:11:07 result: , param:15068.59-111:-2714.1000000000000
